"AIDS Report Number","Local Event Date","Event City","Event State","Event Airport","Event Type","Aircraft Damage","Flight Phase","Aircraft Make","Aircraft Model","Aircraft Series","Operator","Primary Flight Type","Flight Conduct Code","Flight Plan Filed Code","Aircraft Registration Nbr","Total Fatalities","Total Injuries","Aircraft Engine Make","Aircraft Engine Model","Engine Group Code","Nbr of Engines","PIC Certificate Type","PIC Flight Time Total Hrs","PIC Flight Time Total Make-Model"," "," "
"20111015024459I","15-OCT-11","SAINT AUGUSTINE","FL","NORTHEAST FLORIDA RGNL","INCIDENT","MINOR","LANDING: ROLLOUT","NAMER","NA-P51","NA-P51-D","","","GENERAL OPERATING RULES","","751RB","0","0","ROLLS-","V-1650-7","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","33000","1500","25",""
"20120805015059I","05-AUG-12","KALISPELL","MT","GLACIER PARK INTL","INCIDENT","MINOR","LANDING: APPROACH","ACMNDR","ACMNDR-200","ACMNDR-200-D","","","GENERAL OPERATING RULES","","2905T","0","0","CONT M","IO 520 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","34000","100","40",""
"20130718012589I","18-JUL-13","EL PASO","TX","EL PASO INTL","INCIDENT","MINOR","LANDING: ROLLOUT","ZENITH","","","","","GENERAL OPERATING RULES","","801KU","0","0","SUPERI","IO-360","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","34000","155","30",""
"20170518004849I","18-MAY-17","GENEVA","AL","GENEVA MUNI","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","CE-210","CE-210-M","","","GENERAL OPERATING RULES","","301RS","0","0","CONT M","IO 520 SERIES","UNKNOW","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","34000","8000","",""
"20120907018599I","07-SEP-12","LINCOLN","RI","NORTH CENTRAL STATE","INCIDENT","MINOR","LANDING: TOUCHDOWN","MITSUBISHI","MU-2B","MU-2B-40","","","GENERAL OPERATING RULES","","750CA","0","0","AIRESE","TPE331 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","34069","1442","81",""
"20120713014579I","13-JUL-12","TUSCALOOSA","AL","TUSCALOOSA RGNL","INCIDENT","NONE","LANDING: APPROACH","BEECH","BE-36","BE-36-A36","","","GENERAL OPERATING RULES","","4307S","0","0","CONT M","IO 520 SERIES","BA","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","34600","380","50",""
"20091212052439I","12-DEC-09","CLEARWATER","FL","ST PETERSBURG-CLEARWATER INTL","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","BEECH","BE-60","BE-60-A60","","","GENERAL OPERATING RULES","","111XL","0","0","","","","2","AIRLINE TRANSPORT","35000","75","100",""
"20100723041169I","23-JUL-10","FARMINGDALE","NY","REPUBLIC","INCIDENT","MINOR","TAXI","CESSNA","CE-402","CE-402-B","NANTUCKET EXPRESS","","AIR TAXI/COMMUTER","","303PJ","0","0","NONE","NONE","","2","AIRLINE TRANSPORT","35000","5000","75",""
"20111129027149I","29-NOV-11","NANTUCKET","MA","NANTUCKET MEMORIAL","INCIDENT","MINOR","LANDING: APPROACH","CESSNA","CE-402","CE-402-B","NANTUCKET EXPRESS","","GENERAL OPERATING RULES","","303PJ","0","0","CONTEN","T510","520-EB","2","AIRLINE TRANSPORT","35000","2000","41",""
"20130310003609I","10-MAR-13","DAVENPORT","FL","","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","SEAREY","","","","","GENERAL OPERATING RULES","","77MT","0","0","BOMBAR","ROTAX (ALL)","914-F","1","PRIVATE PILOT","35000","200","30",""
"20150722012369I","22-JUL-15","RIVERSIDE","CA","RIVERSIDE MUNI","INCIDENT","NONE","LANDING: APPROACH","BEECH","BE-58","","","","GENERAL OPERATING RULES","","6188M","0","0","","","","2","AIRLINE TRANSPORT","35000","250","100",""
"20170630013769I","30-JUN-17","READINGTON","NJ","SOLBERG-HUNTERDON","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-76","","","","GENERAL OPERATING RULES","","8013Y","0","0","LYCOMI","0-360-A1D","","2","AIRLINE TRANSPORT","35000","250","25",""
"20080306013769I","06-MAR-08","LAKE CITY","SC","LAKE CITY MUNI CJ EVANS FIELD","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","ARION","LIGHTNING","LS1","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","17EF","0","0","","","","1","COMMERCIAL PILOT","35348","215","7",""
"20090626009669I","26-JUN-09","FORT WORTH","TX","","INCIDENT","MINOR","LANDING","BELL","BHT-407","","","","GENERAL OPERATING RULES","UNKNOWN","41BH","0","0","ALLSN","250C47B","250C","1","COMMERCIAL PILOT","35587","0","0",""
"20100410031399I","10-APR-10","FULLERTON","CA","FULLERTON MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","MRCHTI","F-260","F-260-C","","","GENERAL OPERATING RULES","","751M","0","0","LYCOMI","0-540 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","36000","2000","26",""
"20091106021509I","06-NOV-09","HOUSTON","TX","LONE STAR EXECUTIVE","INCIDENT","MINOR","TAKEOFF","PIPER","PA-31","PA-31-P","","","GENERAL OPERATING RULES","UNKNOWN","777PK","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","36650","38","170",""
"20091105020279I","05-NOV-09","STARKVILLE","MS","GEORGE M BRYAN","INCIDENT","MINOR","LANDING","CESSNA","CE-172","CE-172-RG","","","GENERAL OPERATING RULES","UNKNOWN","5104U","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","37000","1500","15",""
"20170924019819I","24-SEP-17","BERLIN","MD","OCEAN CITY MUNI","INCIDENT","MINOR","LANDING: APPROACH","BEECH","BE-200","","","","GENERAL OPERATING RULES","","399BM","0","0","P&W","PT6A SER","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","37500","3600","375",""
"20090206003519I","06-FEB-09","ORLANDO","FL","ORLANDO INTL","INCIDENT","MINOR","TAKEOFF","CESSNA","CE-414","","","","GENERAL OPERATING RULES","UNKNOWN","414BR","0","0","","","","2","","38000","250","10",""
"20170207019039I","07-FEB-17","","","LIVERMORE MUNI","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","LEARJET-BOMBARDIER","LEARJET 35","A","CHARTER AIRLINES LLC","","GENERAL OPERATING RULES","","703DJ","0","0","GARRET","TFE 731 SER","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","38000","36000","150",""
"20110801018269I","01-AUG-11","","MI","LAKEVIEW-GRIFFITH FIELD","INCIDENT","NONE","MANEUVER","AYRES CORPORATION","AYRES-S2","AYRES-S2-G10","HERITAGE AG LLC","","AGRICULTURAL","","38HA","0","0","HONEYW","TPE331-10","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","38125","7125","270",""
"20080724846629I","24-JUL-08","SHELBY","NC","SHELBY-CLEVELAND COUNTY RGNL","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","CESSNA","CE-310","CE-310-L","","","GENERAL OPERATING RULES","UNKNOWN","2298F","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","38450","450","170",""
"20180119000989I","19-JAN-18","LYNDONVILLE","VT","CALEDONIA COUNTY","INCIDENT","MINOR","LANDING: ROLLOUT","CIRRUS","CIRRUS-SR","CIRRUS-SR-22","","","GENERAL OPERATING RULES","","7822M","0","0","","","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","38880","","",""
"20080718842049I","18-JUL-08","CHINO","CA","CHINO","INCIDENT","NONE","GROUND TAXI, OTHER AIRPLANE","DOUG","DC-3","DC-3-CR183090C","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","791HH","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","39000","7300","250",""
"20111128027869I","28-NOV-11","HOUMA","LA","HOUMA-TERREBONNE","INCIDENT","MINOR","LANDING: ROLLOUT","DOUG","DC-4","DC-4-C54DDC","ENVIRONMENTAL AVIATION SERVICES INC","","GENERAL OPERATING RULES","","67024","0","0","P & W","R-2000 SERIES","2000","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","39000","750","12",""
"20110603009969I","03-JUN-11","WEATHERFORD","OK","THOMAS P STAFFORD","INCIDENT","MINOR","LANDING: TOUCHDOWN","BEECH","BE-90","BE-90-C90A","","","GENERAL OPERATING RULES","","501WC","0","0","","","","2","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","39200","4000","26",""
"20110429007379I","29-APR-11","SAINT PETERSBURG","FL","ALBERT WHITTED","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-30","","","","GENERAL OPERATING RULES","","7760Y","0","0","","","","","COMMERCIAL PILOT FLIGHT INSTRUCTOR","39504","400","47",""
"20130417007419I","17-APR-13","SAINT PETERSBURG","FL","ALBERT WHITTED","INCIDENT","MINOR","LANDING: TOUCHDOWN","PIPER","PA-30","","","","GENERAL OPERATING RULES","","21VK","0","0","LYCOMI","IO-320 SERIES","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","39960","260","82",""
"20120722016299I","22-JUL-12","COSHOCTON","OH","RICHARD DOWNING","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","PIPER","PA-38","PA-38-112","","","GENERAL OPERATING RULES","","528W","0","0","LYCOMI","0-235 SERIES","L2C","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","40000","500","5",""
"20100929046439I","29-SEP-10","IMPERIAL","CA","IMPERIAL COUNTY","INCIDENT","SUBSTANTIAL","MANEUVER","AYRES CORPORATION","AYRES-S2","AYRES-S2-R","D S DUSTERS INC","","AGRICULTURAL","","8860Q","0","0","P&W","R1340 SERIES","R-1340","","COMMERCIAL PILOT","40500","0","0",""
"20171108018409I","08-NOV-17","RUTHERFORDTON","NC","RUTHERFORD CO - MARCHMAN FIELD","INCIDENT","MINOR","LANDING: ROLLOUT","PIPER","PA-23","PA-23-250","","","GENERAL OPERATING RULES","","6715A","0","0","","","","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","41000","","",""
"20091016022199I","16-OCT-09","JACKSON","MS","HAWKINS FIELD","INCIDENT","MINOR","TAXI","CESSNA","CE-182","","","","GENERAL OPERATING RULES","UNKNOWN","2478S","0","0","","","","1","COMMERCIAL PILOT","42324","20600","240",""
"20140320004279I","20-MAR-14","THOMASTON","GA","THOMASTON-UPSON COUNTY","INCIDENT","MINOR","LANDING: TOUCHDOWN","PILATU","","","","","GENERAL OPERATING RULES","","865LT","0","0","LYCOMI","GO-435-C2A","","","COMMERCIAL PILOT","43000","600","15",""
"20160404004639I","04-APR-16","WINSTON SALEM","NC","SMITH REYNOLDS","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","CITATIONJET (C525)","","","","GENERAL OPERATING RULES","","921AP","0","0","WILLIA","FJ 44 SERIES","","1","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","43000","1000","100",""
"20150911015689I","11-SEP-15","LAND O' LAKES","WI","KINGS LAND O' LAKES","INCIDENT","MINOR","LANDING: ROLLOUT","LANCAIR","","","","","GENERAL OPERATING RULES","","1QB","0","0","CONT M","TSIO-550-E","","","AIRLINE TRANSPORT","44557","331","7",""
"20150503006779I","03-MAY-15","EASLEY","SC","WILLIAMSPORT AIRPARK","INCIDENT","SUBSTANTIAL","GROUND-RAMP","CESSNA","CE-310","CE-310-Q","","","GENERAL OPERATING RULES","","310BC","0","0","CONT M","TSIO-520 SER","","2","AIRLINE TRANSPORT","44691","720","43",""
"20120213002459I","13-FEB-12","JEFFERSON CITY","MO","JEFFERSON CITY MEMORIAL","INCIDENT","MINOR","LANDING: ROLLOUT","LEARJET-BOMBARDIER","","","","","GENERAL OPERATING RULES","","425AS","0","0","GARRET","TFE 731 SER","","","AIRLINE TRANSPORT","45680","7630","70",""
"20170516003969I","16-MAY-17","KENDALLVILLE","IN","KENDALLVILLE MUNI","INCIDENT","MINOR","TAKEOFF: DEPARTURE","","","","","","GENERAL OPERATING RULES","","289RB","0","0","BOMBAR","ROTAX (ALL)","582","","AIRLINE TRANSPORT PILOT FLIGHT INSTRUCTOR","46795","3","80",""
"20130328003709I","28-MAR-13","TRAVERSE CITY","MI","CHERRY CAPITAL","INCIDENT","MINOR","LANDING: ROLLOUT","CESSNA","CE-172","CE-172-RG","","","GENERAL OPERATING RULES","","4604V","0","0","","","","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","50165","857","126",""
"20080114000579I","14-JAN-08","TUPELO","MS","TUPELO RGNL","INCIDENT","NONE","GROUND TAXI, OTHER AIRPLANE","MOONEY","M-20","M-20-C","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","6702U","0","0","","","","1","AIRLINE TRANSPORT","55000","4","20",""
"20080523835029I","23-MAY-08","WICHITA","KS","WICHITA MID-CONTINENT","INCIDENT","NONE","NORMAL CRUISE","EMBRAER","170","SU","REPUBLIC AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","826MD","0","0","","","","2","AIRLINE TRANSPORT","60206","637","206",""
"20080201010729I","01-FEB-08","REFUGIO","TX","ROOKE FIELD","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","CESSNA","CE-421","CE-421-B","","OTHER","GENERAL OPERATING RULES","UNKNOWN","628RJ","0","0","","","","2","COMMERCIAL PILOT FLIGHT INSTRUCTOR","71000","5000","50",""
"20080101000059I","01-JAN-08","DES MOINES","IA","DES MOINES INTL","INCIDENT","MINOR","STARTING ENGINES","FAIRCHILD-DORNIER","328","300","SKYWAY AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","365SK","0","0","PWA","PW306B","306","2","","","","",""
"20080101000099I","01-JAN-08","LAS VEGAS","NV","","INCIDENT","NONE","TO INITIAL CLIMB (1ST POWER REDUCTION)","CESSNA","CE-172","CE-172-N","","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","739RF","0","0","LYC","O320*","O320","1","","","","",""
"20080101011509I","01-JAN-08","RENO","NV","RENO/TAHOE INTL","INCIDENT","MINOR","OTHER GROUND OPERATIONS","CANADAIR-BOMBARDIER","CHALLENGER","600","SKYWEST AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","937SW","0","0","","","","2","","","","",""
"20080104000149I","04-JAN-08","GRAND ISLAND","NE","","INCIDENT","NONE","NORMAL CRUISE","BEECH","HAWKER-1000","BEECH-HAWKER-1000","","EXECUTIVE","GENERAL OPERATING RULES","UNKNOWN","548LR","0","0","PWA","PW305","305","2","","","","",""
"20080107000469I","07-JAN-08","ENGLEWOOD","CO","","INCIDENT","NONE","NORMAL CRUISE","LEARJET-BOMBARDIER","LEARJET 45","","JET SOLUTIONS LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","INSTRUMENT FLIGHT RULES","438FX","0","0","","","","2","","","","",""
"20080108000219I","08-JAN-08","LINCOLN","NE","LINCOLN","INCIDENT","NONE","GROUND TAXI, OTHER AIRPLANE","BOEING","737","200","AMERISTAR AIR CARGO INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","733TW","0","0","PWA","JT8D*","JT8","2","","","","",""
"20080109000279I","09-JAN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","FINAL APPROACH","BEECH","BE-200","BE-200-B200","","EXECUTIVE","GENERAL OPERATING RULES","UNKNOWN","22F","0","0","","","","2","","","","",""
"20080110000249I","10-JAN-08","EAGLE","CO","","INCIDENT","NONE","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","BOEING","757","200","AMERICAN AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","624AA","0","0","","","","2","","","","",""
"20080111010189I","11-JAN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","LEARJET-BOMBARDIER","LEARJET 60","","","EXECUTIVE","GENERAL OPERATING RULES","INSTRUMENT FLIGHT RULES","876CS","0","0","","","","2","","","","",""
"20080117009659I","17-JAN-08","LINCOLN","NE","LINCOLN","INCIDENT","NONE","FINAL APPROACH","CANADAIR-BOMBARDIER","CHALLENGER","600","PINNACLE AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","820AY","0","0","","","","2","","","","",""
"20080118009869I","18-JAN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","CANADAIR-BOMBARDIER","CHALLENGER","600","PINNACLE AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","841AY","0","0","","","","2","","","","",""
"20080120010089I","20-JAN-08","MESA","AZ","FALCON FLD","INCIDENT","NONE","CLIMB","PIPER","PA-28","PA-28-140","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","5024T","0","0","","","","1","","","","",""
"20080121010899I","21-JAN-08","HARRISBURG","PA","CAPITAL CITY","INCIDENT","MINOR","LEVEL OFF TOUCHDOWN","PIPER","PA-32","PA-32-R300","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","1040H","0","0","","","","1","","","","",""
"20080122011469I","22-JAN-08","LOUISVILLE","KY","LOUISVILLE INTL-STANDIFORD FIELD","INCIDENT","MINOR","OTHER GROUND OPERATIONS","AIRBUS","A319","111","FRONTIER AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","UNKNOWN","922FR","0","0","","","","2","","","","",""
"20080125010039I","25-JAN-08","KAPOLEI","HI","KALAELOA (JOHN RODGERS FIELD)","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","GULSTM","GA-560","GA-560-A","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","10RT","0","0","","","","2","","","","",""
"20080125010199I","25-JAN-08","BLACKSBURG","VA","VIRGINIA TECH/MONTGOMERY EXECUTIVE","INCIDENT","MINOR","TOUCH AND GO LANDING","PIPER","PA-39","","","PERSONAL","GENERAL OPERATING RULES","NONE","8914Y","0","0","","","","2","","","","",""
"20080126000449I","26-JAN-08","CORAOPOLIS","PA","","INCIDENT","NONE","NORMAL CRUISE","DE HAVILLAND-BOMBARDIER","DASH 8","200","CHAMPLAIN ENTERPRISES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","375PH","0","0","PWA","PW123","PW120","2","","","","",""
"20080128009859I","28-JAN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","INITIAL APPROACH-INSTRUMENT FLIGHT RULES","BEECH","HAWKER-800","BEECH-HAWKER-800XP","FLIGHT OPTIONS LLC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","831LX","0","0","","","","2","","","","",""
"20080129000559I","29-JAN-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","FINAL APPROACH","PIPER","PA-46","PA-46-350P","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","629BC","0","0","LYC","TIO540AE2A","O540","1","","","","",""
"20080204009819I","04-FEB-08","GLENDALE","AZ","GLENDALE MUNI","INCIDENT","MINOR","ROLL-OUT (FIXED WING)","BEECH","BE-60","BE-60-B60","","PERSONAL","GENERAL OPERATING RULES","UNKNOWN","139","0","0","LYC","TIO540*","O540","2","","","","",""
"20080204010809I","04-FEB-08","KANSAS CITY","MO","","INCIDENT","NONE","NORMAL CRUISE","BOEING","767","300","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","677UA","0","0","","","","2","","","","",""
"20080206009849I","06-FEB-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","","CANADAIR-BOMBARDIER","CHALLENGER","600","COMAIR INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","814CA","0","0","","","","2","","","","",""
"20080207010069I","07-FEB-08","LINCOLN","NE","","INCIDENT","MINOR","NORMAL CRUISE","CESSNA","CE-560","","NETJETS AVIATION INC","AIR TAXI (NON-SCHEDULED)","AIR TAXI/COMMUTER","UNKNOWN","324QS","0","0","","","","2","","","","",""
"20080207010109I","07-FEB-08","SEATTLE","WA","","INCIDENT","NONE","CLIMB","LEARJET-BOMBARDIER","LEARJET 35","A","","EXECUTIVE","GENERAL OPERATING RULES","UNKNOWN","60WL","0","0","","","","2","","","","",""
"20080208010159I","08-FEB-08","OMAHA","NE","EPPLEY AIRFIELD","INCIDENT","NONE","NORMAL CRUISE","BOEING","757","200","UNITED AIR LINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","554UA","0","0","PWA","PW2040","2037","2","","","","",""
"20080213011499I","13-FEB-08","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","NONE","NORMAL CRUISE","AIRBUS","A319","111","FRONTIER AIRLINES INC","SCHEDULED AIR CARRIER","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","937FR","0","5","","","","2","","","","",""
"20080215010029I","15-FEB-08","PULLMAN","WA","PULLMAN/MOSCOW RGNL","INCIDENT","NONE","FINAL APPROACH","DE HAVILLAND-BOMBARDIER","DASH 8","","HORIZON AIR INDUSTRIES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","UNKNO","0","0","","","","2","","","","",""
"20080216010779I","16-FEB-08","LEXINGTON","KY","BLUE GRASS","INCIDENT","MINOR","TOUCH AND GO LANDING","CESSNA","CE-172","CE-172-R","AERO TECH INC","INSTRUCTION","GENERAL OPERATING RULES","UNKNOWN","65641","0","0","","","","1","","","","",""
"20080310011399I","10-MAR-08","SALT LAKE CITY","UT","SALT LAKE CITY INTL","INCIDENT","MINOR","FINAL APPROACH","EMBRAER","EMB-120 BRASILIA","ER","SKYWEST AIRLINES INC","SUPPLEMENTAL OR COMMERCIAL OPERATOR","AIR CARRIER/COMMERCIAL","INSTRUMENT FLIGHT RULES","581SW","0","0","PWA","PW118B","PW118","2","","","","",""
"20081002847719I","02-OCT-08","WINTERSET","IA","WINTERSET MUNI","INCIDENT","NONE","NORMAL CRUISE","CESSNA","CE-208","CE-208-B","AIRNET SYSTEMS INC","","AIR TAXI/COMMUTER","UNKNOWN","1115M","0","0","PWA","PT6A114A","PT6","1","COMMERCIAL PILOT FLIGHT INSTRUCTOR","","","",""
"20090419005399I","19-APR-09","CHEHALIS","WA","CHEHALIS-CENTRALIA","INCIDENT","MINOR","LANDING","SONEX","WAIEX","","","","GENERAL OPERATING RULES","UNKNOWN","67YX","0","0","AERO","V2180","","1","","","","",""
"20091228857429I","28-DEC-09","TEXARKANA","AR","","INCIDENT","NONE","CRUISE-LEVEL FLIGHT","EMBRAER","ERJ-145","LR","AMERICAN EAGLE AIRLINES INC","","AIR CARRIER/COMMERCIAL","","681AE","0","0","ROLLS-","AE3007 SER","","","COMMERCIAL PILOT","","","",""
"20100104025659I","04-JAN-10","CHICAGO","IL","CHICAGO O'HARE INTL","INCIDENT","MINOR","GROUND-RAMP","BOEING","747","","KLM ROYAL DUTCH AIRLINES","","FOREIGN AIR CARRIER","","NONE","0","0","","","","","AIRLINE TRANSPORT","","","",""
"20100206028059I","06-FEB-10","CHANDLER","AZ","","INCIDENT","NONE","CLIMB","AVID","AVID FLYER","C","","","GENERAL OPERATING RULES","","967DR","0","0","BOMBAR","ROTAX (ALL)","582","","PRIVATE PILOT","","","",""
"20100207027449I","07-FEB-10","FORT LAUDERDALE","FL","FORT LAUDERDALE EXECUTIVE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","ROBSIN","R-22","R-22-BETA","","","GENERAL OPERATING RULES","","116RS","0","1","LYCOMI","0-320 SERIES","","","COMMERCIAL PILOT","","","",""
"20100228028169I","28-FEB-10","TRACY","CA","NEW JERUSALEM","INCIDENT","DESTROYED","MANEUVER","","","","","","ULTRALIGHT VEHICLES","","NONE","1","0","","","","","PILOT NOT CERTIFICATED","","","",""
"20100309028899I","09-MAR-10","ARDMORE","OK","ARDMORE DOWNTOWN EXECUTIVE","INCIDENT","MINOR","LANDING: TOUCHDOWN","CESSNA","CE-210","CE-210-E","","","GENERAL OPERATING RULES","","526MP","0","0","CONT M","IO 520 SERIES","","1","PRIVATE PILOT","","309","7",""
"20100330030289I","30-MAR-10","SAN JUAN","PR","LUIS MUNOZ MARIN INTL","INCIDENT","MINOR","LANDING: TOUCHDOWN","SHORTS-BOMBARDIER","330","","M AND N AVIATION","","AIR TAXI/COMMUTER","","106SW","0","0","P&W CA","PT6A-45","","","AIRLINE TRANSPORT","","","142",""
"20100513055969I","13-MAY-10","SKANEATELES","NY","SKANEATELES AERO DROME","INCIDENT","MINOR","TAKEOFF: DEPARTURE","CESSNA","CE-180","","","","GENERAL OPERATING RULES","","180TX","0","0","CONT M","O-470","E","1","","","","",""
"20100519044119I","19-MAY-10","ORLANDO","FL","EXECUTIVE","INCIDENT","MINOR","LANDING: ROLLOUT","REMOS","G-3","600","","","GENERAL OPERATING RULES","","445RA","0","0","ROTAX","912ULS","","","STUDENT","","11","10",""
"20100923055809I","23-SEP-10","KOTZEBUE","AK","RALPH WIEN MEMORIAL","INCIDENT","NONE","TAKEOFF: CLIMB OUT","RAYTHEON","1900","C-1","FRONTIER FLYING SERVICE INC","","AIR CARRIER/COMMERCIAL","","575X","0","0","P&W","PT6A SER","","2","","","","",""
"20100929055779I","29-SEP-10","WARWICK","RI","THEODORE FRANCIS GREEN STATE","INCIDENT","MINOR","CRUISE-LEVEL FLIGHT","CESSNA","CE-310","CE-310-Q","","","GENERAL OPERATING RULES","","7601Q","0","0","CONT M","I0-470-VO","470","2","COMMERCIAL PILOT","","","",""
"20101020049189I","20-OCT-10","MINNEAPOLIS","MN","MINNEAPOLIS-ST PAUL INTL/WOLD-CHAMBERLAIN","INCIDENT","MINOR","LANDING: ROLLOUT","","","","","","GENERAL OPERATING RULES","","CFGOS","0","0","LYCOMI","IO-360","IO-360","","PRIVATE PILOT","","","",""
"20101106050049I","06-NOV-10","WELLINGTON","FL","WELLINGTON AERO CLUB","INCIDENT","SUBSTANTIAL","LANDING: TOUCHDOWN","BEECH","BE-58","BE-58-TC","","","GENERAL OPERATING RULES","","1879L","0","0","CONT M","I0-470 SERIES","","2","PRIVATE PILOT","","","",""
"20101109055849I","09-NOV-10","LAREDO","TX","LAREDO INTL","INCIDENT","SUBSTANTIAL","LANDING: APPROACH","BOEING","787","8","PATOMAC STREET PARTNERS","","GENERAL OPERATING RULES","","787BA","0","1","","","","","","","","",""
"20101226055719I","26-DEC-10","WINDSOR LOCKS","CT","BRADLEY INTL","INCIDENT","MINOR","TAKEOFF: CLIMB OUT","BOEING","737","400","US AIRWAYS INC","","AIR CARRIER/COMMERCIAL","","421US","0","0","CFM IN","CFM56 SERIES","","","","","","",""
"20110101007239I","01-JAN-11","","","","INCIDENT","NONE","OTHER-SPECIFY","BOEING","","","AIR ITALY S P A","","FOREIGN AIR CARRIER","","NONE","0","0","","","","","","","","",""
